1720 SOUTH WASHINGTON STREET	58201	-97.04732178497238	47.9034191591669	
1012 HAMMERLING AVENUE	58201	-97.04057192785217	47.90740122318795	
1014 23RD AVENUE SOUTH	58201	-97.04143920525507	47.897996250826395	
1602 SOUTH 14TH STREET	58201	-97.04683992911941	47.90483401307927	
1414 SOUTH 9TH STREET	58201	-97.03880429058552	47.907030811322954	
809 15TH AVENUE SOUTH	58201	-97.03797831814484	47.90600183491682	
1011 19TH AVENUE SOUTH	58201	-97.04120883042316	47.901669574891	
1821 SOUTH WASHINGTON STREET	58201	-97.04389882227281	47.90247575055548	
1411 14TH AVENUE SOUTH	58201	-97.04734701994897	47.90781223494673	
1605 LIBRARY CIRCLE SOUTH	58201	-97.049622615891	47.89695407686918	
1907 SOUTH WASHINGTON STREET	58201	-97.04438458568006	47.901449235593816	
1111 HAMMERLING AVENUE	58201	-97.04271873727987	47.90692866362696	
1426 SOUTH 14TH STREET	58201	-97.04706356173398	47.90680208584763	
1520 OAK STREET	58201	-97.03788168419231	47.90490072299002	
1700 SOUTH WASHINGTON STREET	58201	-97.0458657933716	47.903598661149374	
1111 19TH AVENUE SOUTH	58201	-97.04277430279183	47.90166533368824	
907 15TH AVENUE SOUTH	58201	-97.03924524167451	47.90599180837529	
1021 14TH AVENUE SOUTH	58201	-97.04118813972082	47.90781098309043	
1011 18TH AVENUE SOUTH	58201	-97.04119837400572	47.902690720000805	
1614 SOUTH 15TH STREET	58201	-97.04855666925482	47.90431346659324	
1015 15TH AVENUE SOUTH	58201	-97.0413742022576	47.905986582414926	
1023 CAMPBELL DRIVE	58201	-97.04204857328301	47.900642191184204	
1510 BURKE DRIVE	58201	-97.04888993462276	47.90737559430829	
1711 SOUTH WASHINGTON STREET	58201	-97.04399318004118	47.90337229909238	
1116 19TH AVENUE SOUTH	58201	-97.04302927677969	47.90224715188458	
1102 15TH AVENUE SOUTH	58201	-97.04223980062625	47.90652060344314	
1602 SOUTH 16TH STREET	58201	-97.05007807124593	47.90484991579103	
1119 14TH AVENUE SOUTH	58201	-97.04319517381816	47.90781188690909	
2004 SOUTH 10TH STREET	58201	-97.04071273920152	47.900648391110394	
2016 SOUTH WASHINGTON STREET	58201	-97.0460900141428	47.90017764368338	
1611 LIBRARY CIRCLE SOUTH	58201	-97.04981537028306	47.89695494921159	
1911 SOUTH WASHINGTON STREET	58201	-97.04412677882772	47.90134946390668	
815 CAMPBELL DRIVE	58201	-97.03825974389201	47.90055350364133	
919 19TH AVENUE SOUTH	58201	-97.03996051926254	47.90167284392663	
1519 SOUTH 16TH STREET	58201	-97.0492430102567	47.90502705165716	
1007 22ND AVENUE SOUTH	58201	-97.04098065083633	47.89847252278872	
1023 18TH AVENUE SOUTH	58201	-97.04198112412956	47.902688602097385	
1006 19TH AVENUE SOUTH	58201	-97.04094194401546	47.90225280772097	
818 22ND AVENUE SOUTH	58201	-97.0386322340903	47.89902809067388	
1015 LETNES DRIVE	58201	-97.04137884275934	47.90510936840269	
1017 CAMPBELL DRIVE	58201	-97.0415060779431	47.900552616010486	
1514 SOUTH 15TH STREET	58201	-97.04855337323954	47.905204361991764	
1102 HAMMERLING AVENUE	58201	-97.04223515742655	47.90740206765133	
1020 LETNES DRIVE	58201	-97.04164515719822	47.905629482314794	
818 CAMPBELL DRIVE	58201	-97.03849809301255	47.90116964086627	
1606 BURKE DRIVE	58201	-97.05014993607068	47.90737717171913	
1418 SOUTH 9TH STREET	58201	-97.03880544801297	47.90683618544165	
2325 LIBRARY LANE	58201	-97.04939389581159	47.89711963216536	
1103 HAMMERLING AVENUE	58201	-97.04223763595809	47.9069299532548	
2300 LIBRARY LANE	58201	-97.0499938982997	47.89793470212487	
1002 PARK DRIVE	58201	-97.0407685259467	47.900039719157746	
1018 PARK DRIVE	58201	-97.04174732108197	47.900037075150976	
2015 LIBRARY CIRCLE	58201	-97.04737882537245	47.90010621413052	
1018 24TH AVENUE SOUTH	58201	-97.04177789803151	47.8970421843494	
1002 19TH AVENUE SOUTH	58201	-97.04068877136967	47.90225348491043	
1006 23RD AVENUE SOUTH	58201	-97.04098513575536	47.89803391623229	
1518 SOUTH 16TH STREET	58201	-97.0500774201368	47.905028094870715	
1027 HAMMERLING AVENUE	58201	-97.04143214917428	47.906932137708054	
815 SUNSET DRIVE	58201	-97.03847774675057	47.904237839904454	
903 19TH AVENUE SOUTH	58201	-97.03898208925199	47.901675475342984	
1420 SOUTH 14TH STREET	58201	-97.04691973225982	47.90701188239251	
1012 15TH AVENUE SOUTH	58201	-97.04062785938817	47.906524965155086	
1618 SOUTH 15TH STREET	58201	-97.04855734734366	47.90413520657455	
1502 BURKE DRIVE	58201	-97.04837133426963	47.90737494499774	
1511 SOUTH 15TH STREET	58201	-97.04770978577795	47.90539344085465	
1122 LETNES DRIVE	58201	-97.04330702879628	47.905555488794846	
1011 23RD AVENUE SOUTH	58201	-97.04125164624645	47.89748493318319	
1110 SUNSET DRIVE	58201	-97.04272609193555	47.904749364391705	
1019 14TH AVENUE SOUTH	58201	-97.04096653237951	47.90781090664808	
1607 SOUTH 16TH STREET	58201	-97.04924433405876	47.904670694397055	
1901 SOUTH WASHINGTON STREET	58201	-97.04411698071408	47.90179169832828	
1014 CAMPBELL DRIVE	58201	-97.04147492992405	47.90116172863094	
1444 SOUTH 14TH STREET	58201	-97.04691357370245	47.906234914909476	
819 PARK DRIVE	58201	-97.03875818414286	47.899464993015044	
1007 PARK DRIVE	58201	-97.04096409341815	47.89948514862078	
1027 CAMPBELL DRIVE	58201	-97.04189696287449	47.90043563309803	
2299 SOUTH WASHINGTON STREET	58201	-97.04416627525336	47.8978838958252	
1502 SOUTH 16TH STREET	58201	-97.04998232042772	47.90578935929153	
915 19TH AVENUE SOUTH	58201	-97.03971590726326	47.9016735031297	
1438 SOUTH 15TH STREET	58201	-97.04854915362051	47.90634720336078	
1617 LIBRARY CIRCLE SOUTH	58201	-97.05003386057416	47.896955362899746	
1421 SOUTH WASHINGTON STREET	58201	-97.04410577785933	47.906928392031716	
1110 24TH AVENUE SOUTH	58201	-97.04282144705212	47.89704036861815	
1419 SOUTH 15TH STREET	58201	-97.04770324770669	47.907157535691795	
904 LETNES DRIVE	58201	-97.03899430384399	47.9056365437915	
1114 15TH AVENUE SOUTH	58201	-97.04296142472992	47.906518648317046	
2105 SOUTH WASHINGTON STREET	58201	-97.04420336779117	47.899391456350656	
1514 BURKE DRIVE	58201	-97.04914923884627	47.907375921661526	
1410 SOUTH 10TH STREET	58201	-97.04007811910986	47.90740874331891	
1418 SOUTH 10TH STREET	58201	-97.04008170740485	47.9067946232733	
1107 HAMMERLING AVENUE	58201	-97.04247818661901	47.90692930844091	
1407 14TH AVENUE SOUTH	58201	-97.04712289000935	47.90781195615688	
2301 SOUTH WASHINGTON STREET	58201	-97.04415881088039	47.89779237991445	
1118 23RD AVENUE SOUTH	58201	-97.04333319906783	47.89802754003898	
1602 SOUTH 14TH STREET	58201	-97.0468427062259	47.90485319202122	
1624 SOUTH 14TH STREET	58201	-97.04703032818708	47.90410869366133	
818 PARK DRIVE	58201	-97.0385096555961	47.90004570684397	
2015 SOUTH WASHINGTON STREET	58201	-97.04413390235766	47.90012595964538	
