302 NORTH DE SOTO ROAD	66043	-94.91858166415703	39.2546648603708	
232 NORTH DE SOTO ROAD	66043	-94.91859653912391	39.25427195630348	
222 NORTH DE SOTO ROAD	66043	-94.91860004406556	39.2536439311971	
218 NORTH DE SOTO ROAD	66043	-94.91863217104122	39.25329470513616	
212 NORTH DE SOTO ROAD	66043	-94.91843823295358	39.25291929308376	
909 IDA STREET	66043	-94.91856781794134	39.25241974899182	
907 IDA STREET	66043	-94.91818088084167	39.25246769802203	
905 IDA STREET	66043	-94.91777427073366	39.252482660047804	
903 IDA STREET	66043	-94.91676586346662	39.25252966311326	
901 IDA STREET	66043	-94.91620041831341	39.25251927014379	
122 CONTINENTAL DRIVE	66043	-94.91725756585949	39.25528851555184	
124 CONTINENTAL DRIVE	66043	-94.91731982089067	39.25544135557413	
825 ENGLEWOOD STREET	66043	-94.91717284587085	39.25565064361792	
823 ENGLEWOOD STREET	66043	-94.9168250427804	39.2556844306435	
821 ENGLEWOOD STREET	66043	-94.9164951006818	39.25558083564481	
819 ENGLEWOOD STREET	66043	-94.91619998260157	39.25557253766025	
817 ENGLEWOOD STREET	66043	-94.91591788952672	39.25558426167832	
815 ENGLEWOOD STREET	66043	-94.9156387054517	39.25558510769444	
813 ENGLEWOOD STREET	66043	-94.91536541737915	39.25559602971188	
811 ENGLEWOOD STREET	66043	-94.91508288430275	39.25559266472744	
809 ENGLEWOOD STREET	66043	-94.91479608822684	39.25560594374602	
402 NORTH DE SOTO ROAD	66043	-94.91856193824263	39.2556278625348	
100 CONTINENTAL DRIVE	66043	-94.91616616433431	39.25283784219961	
102 CONTINENTAL DRIVE	66043	-94.91650483644777	39.25307397522027	
104 CONTINENTAL DRIVE	66043	-94.91680511654393	39.25323659223064	
106 CONTINENTAL DRIVE	66043	-94.91692448959296	39.25341529725405	
108 CONTINENTAL DRIVE	66043	-94.91707470165234	39.25361597127941	
110 CONTINENTAL DRIVE	66043	-94.91715955969788	39.25385667231527	
112 CONTINENTAL DRIVE	66043	-94.91721119973754	39.25412973335849	
114 CONTINENTAL DRIVE	66043	-94.91721842576203	39.25436810339841	
116 CONTINENTAL DRIVE	66043	-94.91723731179684	39.25468332545064	
120 CONTINENTAL DRIVE	66043	-94.91710237779053	39.25500072251203	
504 NORTH DE SOTO ROAD	66043	-94.91838470437617	39.25754739986955	
502 NORTH DE SOTO ROAD	66043	-94.91840182035914	39.257317915829766	
500 NORTH DE SOTO ROAD	66043	-94.91846228135644	39.25711721679237	
708 ENGLEWOOD STREET	66043	-94.91229434151828	39.255234423825975	
103 CONTINENTAL DRIVE	66043	-94.91619793139323	39.25337118228802	
717 HOLIDAY DRIVE	66043	-94.91258757087724	39.25820021131087	
715 HOLIDAY DRIVE	66043	-94.91217710676037	39.2581324613228	
711 HOLIDAY DRIVE	66043	-94.91189293667946	39.25808564033116	
709 HOLIDAY DRIVE	66043	-94.91167794862032	39.25807279534122	
707 HOLIDAY DRIVE	66043	-94.91146139556422	39.25809562235745	
705 HOLIDAY DRIVE	66043	-94.91121276250001	39.258124740376566	
703 HOLIDAY DRIVE	66043	-94.9109839094442	39.258186249400005	
701 HOLIDAY DRIVE	66043	-94.9107752943959	39.25826972242604	
507 WILLOW COURT	66043	-94.9104056073163	39.2584805104828	
505 WILLOW COURT	66043	-94.91029772226851	39.25828177445534	
709 NORTH DE SOTO ROAD	66043	-94.91969782897147	39.2601071862275	
900 IDA STREET	66043	-94.91789018465252	39.25129277283992	
700 ENGLEWOOD STREET	66043	-94.91072290810048	39.255290399925116	
97 CONTINENTAL DRIVE	66043	-94.91607069321564	39.25185305503848	
95 CONTINENTAL DRIVE	66043	-94.91599713517937	39.25167850801318	
93 CONTINENTAL DRIVE	66043	-94.91591288114314	39.25153501399368	
98 CONTINENTAL DRIVE	66043	-94.91556013509032	39.25198175708944	
96 CONTINENTAL DRIVE	66043	-94.91547217105177	39.25182417806779	
94 CONTINENTAL DRIVE	66043	-94.91535879200583	39.251661050046664	
82 CONTINENTAL DRIVE	66043	-94.91511019290682	39.25132077600329	
78 CONTINENTAL DRIVE	66043	-94.91463029575812	39.25111384199568	
76 CONTINENTAL DRIVE	66043	-94.91448051169941	39.25091942297131	
74 CONTINENTAL DRIVE	66043	-94.91459556771524	39.250758705937585	
73 CONTINENTAL DRIVE	66043	-94.91482699876705	39.250647920905635	
75 CONTINENTAL DRIVE	66043	-94.91509921584426	39.2506892438971	
77 CONTINENTAL DRIVE	66043	-94.91529564790692	39.25079286490342	
81 CONTINENTAL DRIVE	66043	-94.91548494496953	39.25091624891348	
83 CONTINENTAL DRIVE	66043	-94.91563101002501	39.25108771793416	
864 MEADOWLARK COURT	66043	-94.91463800682561	39.25180741411254	
80 CONTINENTAL DRIVE	66043	-94.91487093383144	39.251204739997306	
